version	id	title	url	purpose	outline	functionality	type	seo_role	seo_parent	seo_keyword
v4		Facet Cocktail Dresses	/cocktail-dresses/[facet-color]	Color-filtered cocktail dresses page targeting [color] cocktail dress commercial queries	Breadcrumb <Shop › Cocktail Dresses (to /cocktail-dresses) › {Color}> / "H1: {Color} Cocktail Dresses" / Subtitle <{color} cocktail dresses intro> // Button Pills <links to /cocktail-dresses/{color}> // View Toggle <grid columns> // Product Grid <1 col mobile, 2 col desktop> / "Btn: Load More" // Image | ("H2: More about our {Color} Cocktail Dresses" / Paragraph <more on {color} cocktail dresses> / Btn <to /cocktail-dresses>)	(same View toggle and Product Grid as /shop)	Collection	Cluster	/cocktail-dresses	{color} cocktail dresses
v4		EN Home	/en-[country]/	Localized brand entry point with local currency pricing	(same as / + internal links prefixed with /en-{country}/, + prices in local currency)	Localised content | hreflang alternates | otherwise inherits Home (/)	Home	Pillar		
v4		EN All Products	/en-[country]/shop	Localized commerce landing page with local currency pricing	(same as /shop + prices in local currency, Category Filter links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /shop	Collection	Cluster	/en-[country]/	
v4		EN Facet Corset Tops	/en-[country]/corset-tops/[facet-color]	Localized color facet page with local currency pricing	(same as /corset-tops/[facet-color] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /corset-tops/[facet-color]	Collection	Cluster	/en-[country]/corset-tops	
v4		EN Facet Matching Sets	/en-[country]/matching-sets/[facet-color]	Localized color facet page with local currency pricing	(same as /matching-sets/[facet-color] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /matching-sets/[facet-color]	Collection	Cluster	/en-[country]/matching-sets	
v4		EN Facet Cocktail Dresses	/en-[country]/cocktail-dresses/[facet-color]	Localized color facet page with local currency pricing	(same as /cocktail-dresses/[facet-color] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /cocktail-dresses/[facet-color]	Collection	Cluster	/en-[country]/cocktail-dresses	
v4		EN Corset Tops	/en-[country]/corset-tops	Localized corset tops pillar with country-specific shipping and sizing context	(same as /corset-tops with H1 prefixed by {Country}, internal links prefixed with /en-{country}/, + H2: Shipping to {Country} inserted before FAQ, + localized FAQ answers)	Localised content | hreflang alternates | otherwise inherits /corset-tops	Collection	Pillar		
v4		EN Matching Sets	/en-[country]/matching-sets	Localized version of /matching-sets	(same as /matching-sets + internal links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /matching-sets	Collection	Pillar		
v4		EN Cocktail Dresses	/en-[country]/cocktail-dresses	Localized version of /cocktail-dresses	(same as /cocktail-dresses + internal links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /cocktail-dresses	Collection	Pillar		
v4		EN Product Detail	/en-[country]/products/[product-slug]	Localized product detail page with local currency pricing	(same as /products/[product-slug] + prices in local currency)	Localised content | hreflang alternates | otherwise inherits /products/[product-slug]	Product	Cluster	/en-[country]/{category}	
v4		EN About Us	/en-[country]/about	Locale-prefixed mirror of /about for hreflang reciprocity	(same as /about)	Localised content | hreflang alternates | otherwise inherits /about	Information	Cluster	/en-[country]/	
v4		EN Contact	/en-[country]/contact	Locale-prefixed mirror of /contact for hreflang reciprocity	(same as /contact)	Localised content | hreflang alternates | otherwise inherits /contact	Utility	Supporting		
v4		EN Shipping & Returns	/en-[country]/shipping-returns	Locale-prefixed mirror of /shipping-returns for hreflang reciprocity	(same as /shipping-returns)	Localised content | hreflang alternates | otherwise inherits /shipping-returns	Utility	Supporting		
v4		EN Privacy Policy	/en-[country]/privacy-policy	Locale-prefixed mirror of /privacy-policy for hreflang reciprocity	(same as /privacy-policy)	Localised content | hreflang alternates | otherwise inherits /privacy-policy	Utility	Supporting		
v4		EN Terms of Service	/en-[country]/terms-of-service	Locale-prefixed mirror of /terms-of-service for hreflang reciprocity	(same as /terms-of-service)	Localised content | hreflang alternates | otherwise inherits /terms-of-service	Utility	Supporting		
v5	F-xxx	Wishlist		Saved items; heart icons			Feature			
v5	F-xxx	Live Chat		Chat or support widget			Feature			
v5	F-xxx	Share Product		Share icon on the Product Detail page			Feature			
v5		Journal	/journal	Editorial content hub			Utility	Supporting		
v5		Corset vs Bustier vs Bodice	/journal/corset-vs-bustier-vs-bodice	Comparison cluster			Blog	Cluster	/corset-tops	corset vs bustier
v5		How to Lace a Corset	/journal/how-to-lace-a-corset	How-to cluster			Blog	Cluster	/corset-tops	how to lace a corset
v5		Corset Fabrics Explained	/journal/corset-fabrics-explained	Material comparison cluster			Blog	Cluster	/corset-tops	silk vs satin corset
v5		Corset Fit Guide by Body Type	/journal/corset-fit-guide-by-body-type	Body-type sizing cluster			Blog	Cluster	/corset-tops	corset fit by body type
v5		How to Wear a Corset	/journal/how-to-wear-a-corset	Styling pillar for outfit and occasion queries			Blog	Pillar		how to wear a corset
v5		How to Wear a Corset with Jeans	/journal/how-to-wear-a-corset-with-jeans	Casual styling cluster			Blog	Cluster	/journal/how-to-wear-a-corset	corset with jeans
v5		Corset Top for Everyday	/journal/corset-top-for-everyday	Everyday wear cluster			Blog	Cluster	/journal/how-to-wear-a-corset	everyday corset top
v5		What to Wear Under a Corset	/journal/what-to-wear-under-a-corset	Layering cluster			Blog	Cluster	/journal/how-to-wear-a-corset	what to wear under a corset
v5		Bridal Corset Guide	/journal/bridal-corset-guide	Wedding pillar for bridal queries			Blog	Pillar		bridal corset
v5		Corset for Bridesmaids	/journal/corset-for-bridesmaids	Wedding party cluster			Blog	Cluster	/journal/bridal-corset-guide	bridesmaid corset
v5		EN Journal Article	/en-[country]/journal/[slug]	Localized journal article template covering all journal slugs	(same as corresponding /journal/[slug] + internal links prefixed with /en-{country}/)	Localised content | hreflang alternates | otherwise inherits /journal/[slug]	Blog	Cluster	/en-[country]/corset-tops	
Backlog	F-xxx	Search		Keyword search bar			Feature			
Backlog	F-xxx	Reviews		Product reviews and ratings			Feature			
