page	slot	value
/corset-tops	s-003.5.paragraph	Most brands lay the boning flat with a machine. We do it by hand. Each bone is set one at a time on a mannequin, so it follows the curve of a real body. This takes longer, but the fit is better. The top shapes you where it should and stays smooth where it should. That hand-set boning is why a SHER corset top reads elegant, never cheap. The care shows on the inside. A satin lining sits against the skin, so the top feels smooth and holds its shape. Structured bust cups keep the front clean. On lace styles, the lace is cut and placed by hand so the pattern runs true. Strong thread and finished seams mean it lasts. You can tell the quality from across the room.
/corset-tops	s-003.6.q1	How do I measure for a corset top?
/corset-tops	s-003.6.a1	Measure your bust, waist, hip, and length. Bust matters most on a corset top, so get that one right. Keep the tape level and snug, not tight. Then match your numbers to our size chart and pick the size that fits your largest one.
/corset-tops	s-003.6.q2	How should a corset top fit?
/corset-tops	s-003.6.a2	It should feel firm but never painful. The top edge sits flat against your chest with no gap, and the waist holds close with no space to pinch. You should still breathe and move with ease. If it hurts or leaves marks, size up.
/corset-tops	s-003.6.q3	What if I am between sizes?
/corset-tops	s-003.6.a3	Size up. A corset top can be taken in but not let out, so the larger size gives you room to adjust. With a Lace Closure, you can cinch it further for a closer fit. With a Zip Closure, a tailor can take in the seams.
/corset-tops	s-003.6.q4	How do I care for my corset top?
/corset-tops	s-003.6.a4	Hand wash it cold or take it to a dry cleaner. Skip the machine, since the spin can bend the boning. Lay it flat to dry, out of direct sun. Always check the care label on your piece first, as fabrics differ.
/corset-tops	s-003.6.q5	How do I style a corset top?
/corset-tops	s-003.6.a5	Let the corset top lead. Keep the rest simple, with plain trousers, a straight skirt, or tailored denim. One clean shoe and small jewelry is enough. The top is the piece people notice, so give it room and let everything else stay quiet.
/corset-tops	s-003.6.q6	Should I choose a Lace or Zip Closure?
/corset-tops	s-003.6.a6	Pick by preference, since the fit is the same either way. Choose Lace Closure if you want to adjust how firm it feels, or if a size change is likely. Choose Zip Closure if you want the easiest way in and out. Both give you the same shape.
/matching-sets	s-004.meta.title	Matching Sets: The Co-Ord, Made to Be Seen
/matching-sets	s-004.meta.description	Matching sets by SHER: two coordinated pieces cut to sit together as one look. Choose a Skirt Set or a Trouser Set, made to match and built to last.
/matching-sets	s-004.1.heading	Shop Matching Sets
/matching-sets	s-004.1.subtitle	Shop matching sets that pair a corset top with a skirt or trousers. Choose a Skirt Set for a soft, feminine line, or a Trouser Set for a sharp, sleek one.
/matching-sets	s-004.3.eyebrow	What is a Matching Set?
/matching-sets	s-004.3.heading	One Look, Two Pieces That Belong Together
/matching-sets	s-004.3.paragraph	A matching set is a top and a bottom made from the same fabric to be worn together. Some call it a co-ord or a two-piece set. The two pieces share the same color, cut, and finish, so they read as one outfit, not two separate items. You put on both and the look is complete, with nothing left to match.
/matching-sets	s-004.4.eyebrow	Pick your Matching Set Type
/matching-sets	s-004.4.heading	Each Set Built for a Different Look
/matching-sets	s-004.4.paragraph	The Skirt Set pairs the top with a matching skirt. It gives a soft, feminine line that moves as you walk. Pick this one for a look that feels dressed up without effort, day or evening. The Trouser Set pairs the top with matching trousers. It gives a longer, sharper line and reads a little bolder. Pick this one when you want to look put together and ready for anything.
/matching-sets	s-004.5.eyebrow	Quality from Inside Out
/matching-sets	s-004.5.heading	Cut to Sit Right Together
/matching-sets	s-004.5.paragraph	We cut both pieces to work as a pair. The top ends where the bottom begins, so the hems meet with no gap and no overlap. The color is dyed in the same run, so the two pieces never look off. Each set is made together, checked together, and sold together. That is why a SHER set sits right the moment you put it on. The quality shows up close. Both pieces use the same soft, weighted fabric that holds its shape and drapes clean. Seams are finished so nothing frays, and the color is set to fade evenly over time. Zips and closures are chosen to last. Made this way, the set keeps looking like new wash after wash.
/matching-sets	s-004.6.q1	How do I measure for a matching set?
/matching-sets	s-004.6.a1	Measure your bust, waist, hip, and the length of each piece. Waist matters most on a set, since both pieces meet there. Keep the tape level and snug. Then match your numbers to our size chart and choose the size that fits your waist.
/matching-sets	s-004.6.q2	How should a matching set fit?
/matching-sets	s-004.6.a2	The top should feel firm and hold close. The bottom sits at your natural waist, though the exact spot can shift by style. When both are on, the top hem and the waistband should meet with no skin showing between them. You should still move with ease.
/matching-sets	s-004.6.q3	What if I am between sizes?
/matching-sets	s-004.6.a3	Size up the top. It can be taken in but not let out, so the larger size gives you room to adjust. For the bottom, choose the size that fits your waist. A tailor can then take in either piece for a closer fit.
/matching-sets	s-004.6.q4	How do I care for my matching set?
/matching-sets	s-004.6.a4	Wash by fabric: hand wash, machine wash cold, or dry clean. Always wash both pieces together so they fade at the same rate and stay matched. Lay them flat to dry, out of direct sun. Check the care label on your set first, as fabrics differ.
/matching-sets	s-004.6.q5	How do I style a matching set?
/matching-sets	s-004.6.a5	Wear both pieces together as one look. The set does the work, so keep the rest simple. One clean shoe and small jewelry is enough. Adding busy accessories only breaks the line the two pieces make.
/matching-sets	s-004.6.q6	Can I buy the top and bottom on their own?
/matching-sets	s-004.6.a6	No. Each set is sold only as a pair. The two pieces are cut, dyed, and finished to match, so splitting them would break the look they are made for. You buy the set and wear it as one.
/cocktail-dresses	s-005.meta.title	Cocktail Dresses: Elegant Dresses for Evenings & Occasions
/cocktail-dresses	s-005.meta.description	Cocktail dresses by SHER, cut in satin to skim the body and be seen. Choose Mini, Midi, or Maxi, sensual and refined for evenings and occasions.
/cocktail-dresses	s-005.1.heading	Shop Cocktail Dresses
/cocktail-dresses	s-005.1.subtitle	Shop cocktail dresses cut in satin and slip shapes, made to be seen. Pick Mini for a bold short look, Midi for easy elegance, or Maxi for a long evening statement.
/cocktail-dresses	s-005.3.eyebrow	What is a Cocktail Dress?
/cocktail-dresses	s-005.3.heading	The Dress You Wear to Be Remembered
/cocktail-dresses	s-005.3.paragraph	A cocktail dress is a dressy short-to-mid dress made for evening events. It sits between everyday wear and a formal gown, right for parties, dinners, and occasions that ask you to dress up. The cut is refined and made to flatter. You wear a cocktail dress when you want to look pulled together and be remembered.
/cocktail-dresses	s-005.4.eyebrow	Pick your Length
/cocktail-dresses	s-005.4.heading	Each Length Built for a Different Moment
/cocktail-dresses	s-005.4.paragraph	The Mini hits the thigh. It is short, striking, and made for a night out. The Midi falls between the knee and the ankle. It is the most versatile length, right for dinners, parties, and daytime events alike. The Maxi runs to the ankle or floor. It is long, commanding, and the dressiest of the three.
/cocktail-dresses	s-005.5.eyebrow	Quality from Inside Out
/cocktail-dresses	s-005.5.heading	Sensual Without Looking Cheap
/cocktail-dresses	s-005.5.paragraph	We design for sensual, not for flash. The cut follows the body and stops at the right place, so the dress hints without showing too much. Weighted satin drapes clean instead of clinging. Seams are placed to shape you, not to squeeze. The result is a dress that reads elegant up close and from across the room. The quality is in the details. The satin is weighted so it drapes clean and does not cling in the wrong places. A smooth lining sits against the skin for comfort and shape. Seams are finished by hand and zips are set flat so nothing pulls. Made this way, the dress holds its shape through a long evening.
/cocktail-dresses	s-005.6.q1	How do I measure for a cocktail dress?
/cocktail-dresses	s-005.6.a1	Measure your bust, waist, hip, and length. Keep the tape level and snug, not tight. A dress has to fit every point at once, so match your numbers to our size chart and choose the size that fits your largest one.
/cocktail-dresses	s-005.6.q2	How should a cocktail dress fit?
/cocktail-dresses	s-005.6.a2	It should skim the body, not grip it. The fabric follows your shape with no pulling and no horizontal creases across the bust or hip. You can sit, move, and breathe with ease. If you see tight lines forming, size up.
/cocktail-dresses	s-005.6.q3	What if I am between sizes?
/cocktail-dresses	s-005.6.a3	Size up. A cocktail dress is easier to take in than to let out, so the larger size gives you room. Then have a tailor take in the waist for a clean fit. This keeps the bust and hip comfortable while the middle stays sharp.
/cocktail-dresses	s-005.6.q4	How do I care for my cocktail dress?
/cocktail-dresses	s-005.6.a4	Hand wash it cold or take it to a dry cleaner. Never wring satin, as twisting leaves marks that stay. Press the water out gently and lay the dress flat to dry, out of direct sun. Check the care label on your dress first, as fabrics differ.
/cocktail-dresses	s-005.6.q5	How do I style a cocktail dress?
/cocktail-dresses	s-005.6.a5	Let the dress lead and add one strong accessory, like a bold earring or a clutch. Match the shoe to the hem: a heel for a Mini, a strappy sandal for a Midi, and a fine heel for a Maxi. Keep everything else quiet.
/cocktail-dresses	s-005.6.q6	What do I wear a cocktail dress to?
/cocktail-dresses	s-005.6.a6	Wear it to dressy events that sit below black tie: parties, dinners, weddings as a guest, and work events with a dress code. When an invite says cocktail attire, this is the dress it means. It is dressy enough to stand out, not so formal it feels like a gown.
/beachwear	s-012.meta.title	Beachwear: Swimwear Shaped to Hold You
/beachwear	s-012.meta.description	Beachwear by SHER, lined front and back so it holds its shape wet or dry. Choose a One Piece for one clean line, or a Bikini sold as a set.
/beachwear	s-012.1.heading	Shop Beachwear
/beachwear	s-012.1.subtitle	Shop beachwear in two cuts. Pick a One Piece for one long, clean line, or a Bikini set for two pieces to move between.
/beachwear	s-012.3.eyebrow	What is Beachwear?
/beachwear	s-012.3.heading	Swimwear Shaped to Hold You, Not Just Cover You
/beachwear	s-012.3.paragraph	Beachwear is swimwear made for the water and for everywhere around it. SHER cuts it with the same shaping as the rest of the range, so it holds the body instead of hanging on it. A One Piece joins the top and bottom into one. A Bikini keeps them separate and sells them together as a set. Both read elegant, never cheap.
/beachwear	s-012.4.eyebrow	Pick your Swim Type
/beachwear	s-012.4.heading	Each Swim Type Built for a Different Line
/beachwear	s-012.4.paragraph	The One Piece joins the top and bottom into a single piece. It holds the middle and draws one long line from shoulder to hip. Pick this one for coverage and shape together. The Bikini is a separate top and bottom, sold as a set. It shows more skin and gives you two pieces to move between through the day. Pick this one for the freedom to change what you show.
/beachwear	s-012.5.eyebrow	Quality from Inside Out
/beachwear	s-012.5.heading	Lined So Nothing Shows, Wet or Dry
/beachwear	s-012.5.paragraph	Thin swimwear turns sheer the moment it gets wet. Ours is lined front and back, so it stays opaque either way. The bust cups are shaped to hold their form after washing, not flatten out by the third wear. Every seam is sewn flat, so nothing digs in and nothing prints a line under the fabric. The swim fabric holds its shape wet and dries fast. You can swim in it, then walk off the beach in it.
/beachwear	s-012.6.q1	How do I measure for beachwear?
/beachwear	s-012.6.a1	Measure your bust, waist, and hip. Keep the tape level and snug, not tight. Bust matters most on a One Piece and on a bikini top. Hip matters most on a bikini bottom. Match your numbers to our size chart and pick the size that fits your largest one.
/beachwear	s-012.6.q2	How should beachwear fit?
/beachwear	s-012.6.a2	Snug, not tight. It should hold you with no pulling at the seams and no skin pushed over an edge. Swim fabric gives a little once wet, so it should feel firm while it is dry. If it leaves marks or you cannot move freely, size up.
/beachwear	s-012.6.q3	What if I am between sizes?
/beachwear	s-012.6.a3	Pick the size that fits your largest measurement. A set is sized as one piece, so the top and bottom come in the same size. If your bust and your hip land on different sizes, take the larger one.
/beachwear	s-012.6.q4	How do I care for my beachwear?
/beachwear	s-012.6.a4	Rinse it in cold water after every wear, then hand wash it. Never dry clean it. Lay it flat to dry, out of direct sun. Always check the care label on your piece first, as fabrics differ.
/beachwear	s-012.6.q5	How do I style beachwear?
/beachwear	s-012.6.a5	Wear it on its own at the water. To walk off the beach, pull a shirt or a skirt over it. A bikini top or a One Piece carries into the evening under an open shirt. Keep the jewelry small and let the piece lead.
/beachwear	s-012.6.q6	Can I buy a bikini top or bottom on its own?
/beachwear	s-012.6.a6	No. Every bikini is sold as a set, top and bottom together.
/products	s-006.2.subtitle	Browse popular pieces from this and other categories.
/about	s-007.meta.title	Our SHER Brand
/about	s-007.meta.description	Meet the SHER brand: sensual, refined womenswear built by hand from real corsetry. Read our philosophy and the story of founder Sherilyn.
/about	s-007.1.heading	Our SHER Brand
/about	s-007.1.paragraph	The SHER brand makes womenswear that is sensual and refined. We believe sensuality should lift a woman up, never cheapen her. Every piece is built by hand, one at a time, on real corsetry. Corset tops, matching sets, and cocktail dresses that shape the body and read elegant. We started SHER because premium, well-made sensual clothing was hard to find, so we make it ourselves.
/about	s-007.2.eyebrow	Our Philosophy
/about	s-007.2.heading	Sensuality That Elevates
/about	s-007.2.paragraph	Sensual does not have to mean cheap. That line sits at the center of everything we make. We design clothes that show off the body with control, not with excess. The cut hints instead of shouts. The fit flatters instead of clings. A SHER piece makes a woman feel bold and sure of herself, and it reads elegant to everyone else. That is sensuality that elevates.
/about	s-007.3.eyebrow	Meet the Founder
/about	s-007.3.heading	The Woman Behind It, Sherilyn
/about	s-007.3.paragraph	Sherilyn founded SHER to make the sensual, well-built clothing she could not find for herself. She leads the design of every piece, from the cut of a corset top to the drape of a dress. Her standard is simple: it has to look elegant, feel strong, and last. That standard runs through the whole SHER brand.
/contact	s-008.meta.title	Contact Us
/contact	s-008.meta.description	Contact SHER for orders, press, and returns. Send a direct message for the fastest reply, email us for business, or use our warehouse address for returns.
/contact	s-008.1.heading	Contact Us
/contact	s-008.1.subtitle	Reach SHER the way that suits you. Message us for a fast reply, email us for business, or use the address below for returns.
/contact	s-008.2.heading-1	Direct Message - For the fastest response
/contact	s-008.2.heading-2	Email - For business inquiries
/contact	s-008.2.heading-3	Warehouse Address - For product returns
/shipping-returns	s-009.meta.title	Shipping & Returns
/shipping-returns	s-009.meta.description	How SHER ships worldwide from Thailand, what delivery takes, how customs and duties work, and how to exchange an order.
/shipping-returns	s-009.1.heading	Shipping & Returns
/shipping-returns	s-009.1.subtitle	How long your order takes, how customs work, and how to send something back.
/shipping-returns	s-009.2.heading	Where Do You Ship?
/shipping-returns	s-009.2.paragraph	We ship worldwide. Every order goes out from SHER's warehouse in Thailand.
/shipping-returns	s-009.3.heading	When Will I Receive My Order?
/shipping-returns	s-009.3.paragraph	First we process your order, which takes 2 to 3 business days. Then we hand it to the carrier and email you to confirm. Standard shipping takes 7 to 14 business days. Express shipping takes 3 to 5 business days.
/shipping-returns	s-009.4.heading	About Customs & Duties
/shipping-returns	s-009.4.paragraph	Import duties may apply when your order arrives. The amount depends on your country's rules, and local customs set the fee. Please check your country's import rules first, so the charge is no surprise. If you reject the package and will not pay the fee, we cannot refund the order.
/shipping-returns	s-009.5.heading	Returns & Exchanges
/shipping-returns	s-009.5.paragraph	We accept exchanges. To start one, email us at hello@sherbrand.co with your order number in the subject line. Then mail the item to 456/49 Moo 10, T.Bangpla, A.Bangplee, Samutprakarn 10540.
/privacy-policy	s-010.meta.title	Privacy Policy
/privacy-policy	s-010.meta.description	How SHER collects, uses, shares, and protects your data when you shop, plus the cookie choices and privacy rights you have.
/privacy-policy	s-010.1.heading	Privacy Policy
/privacy-policy	s-010.1.subtitle	What we collect when you shop with SHER, how we use it, and the choices you have.
/privacy-policy	s-010.2.heading	Information We Collect
/privacy-policy	s-010.2.paragraph	We collect the details you give us when you shop. That means your name, email, shipping address, and phone number. When you pay, our checkout partner handles your card details, and we never see your full card number. We also collect basic data about how you use the site, like the pages you view and the device you are on.
/privacy-policy	s-010.3.heading	How We Use Your Data
/privacy-policy	s-010.3.paragraph	We use your data to run your order and support you. That covers taking payment, shipping your items, and sending order updates by email. We also use it to answer your questions and to improve the site. If you opt in, we send you news and offers, and you can stop these at any time.
/privacy-policy	s-010.4.heading	Sharing with Third Parties
/privacy-policy	s-010.4.paragraph	We share your data only with the partners who help us run the shop. That includes our store platform, our payment partner, and the carriers who deliver your order. Each one may use your data only to do its job for us. We do not sell your data to anyone.
/privacy-policy	s-010.5.heading	Security
/privacy-policy	s-010.5.paragraph	We protect your data with care. Payments run through a secure, encrypted checkout. We limit who on our team can see your details, and we keep them only as long as we need. No system is perfect, so we also ask you to keep your own account and password safe.
/privacy-policy	s-010.6.heading	Cookies
/privacy-policy	s-010.6.paragraph	We use cookies to make the site work and to remember your cart. Some cookies are needed for the site to run. Others help us see how the site is used, so we can make it better. You can turn off non-essential cookies in your browser or in our cookie banner.
/privacy-policy	s-010.7.heading	Your Rights
/privacy-policy	s-010.7.paragraph	You have rights over the data we hold, and these depend on the laws where you live. In most places you can ask to see your data, fix it, or have it deleted. You can also opt out of marketing at any time. To make a request, email us at hello@sherbrand.co.
/terms-of-service	s-011.meta.title	Terms of Service
/terms-of-service	s-011.meta.description	The terms for using the SHER site and placing an order: orders and payment, intellectual property, liability, and governing law.
/terms-of-service	s-011.1.heading	Terms of Service
/terms-of-service	s-011.1.subtitle	The rules for using the SHER site and placing an order.
/terms-of-service	s-011.2.heading	Overview
/terms-of-service	s-011.2.paragraph	These terms cover your use of the SHER site and any order you place. When you shop with us, you agree to them. Please read them before you buy. If you do not agree, please do not use the site.
/terms-of-service	s-011.3.heading	Orders & Payment
/terms-of-service	s-011.3.paragraph	When you place an order, you make an offer to buy. We confirm it by email once we accept it. Payment is taken at checkout through our secure payment partner. Any customs or duty fees are yours to pay. We may cancel an order if an item is out of stock or a price is shown wrong.
/terms-of-service	s-011.4.heading	Intellectual Property
/terms-of-service	s-011.4.paragraph	Everything on the SHER site belongs to SHER. That covers our name, logo, photos, and text. You may not copy, resell, or reuse them without our written say-so. You may view and share our pages for your own personal use.
/terms-of-service	s-011.5.heading	Liability
/terms-of-service	s-011.5.paragraph	We work hard to keep the site correct and running. Even so, we cannot promise it will always be error-free or open. We are not liable for loss that comes from events we cannot control, such as a carrier delay. Nothing here removes a right the law gives you.
/terms-of-service	s-011.6.heading	Governing Law
/terms-of-service	s-011.6.paragraph	These terms are governed by the laws of Thailand. Any dispute will be handled by the courts of Thailand.
